point,x,y,z
1,0,11.227470000000004,-16.766039999999983
2,0,9.153020000000005,-5.015819999999998
3,0,11.985500000000002,5.461710000000004
4,0,14.366619999999998,17.523870000000002
5,0,16.02436,29.14749
6,0,32.32302,31.064370000000004
7,0,48.324040000000004,31.473480000000002
8,0,69.23199,30.609900000000003
9,0,90.15275,29.48862
10,0,108.47762999999998,28.12095
11,0,109.86712999999997,15.159089999999999
12,0,111.66955999999999,1.385700000000007
13,0,112.74861000000001,-12.826229999999988
14,0,115.27441999999999,-26.16107999999999
15,0,108.23276999999999,-34.41197999999999
16,0,83.52858,-32.1333
17,0,61.4587,-30.38133
18,0,40.89963000000001,-29.04077999999999
19,0,18.339959999999998,-24.93108
20,0,10.091160000000002,-16.393049999999995
